Ref,Val,Package,PosX,PosY,Rot,Side
D24,SOD-123,Diode-Hybrid-Back,40.29375,-48.41875,180,bottom
D25,SOD-123,Diode-Hybrid-Back,40.48125,-67.46875,180,bottom
D26,SOD-123,Diode-Hybrid-Back,48.41875,-78.58125,270,bottom
D27,SOD-123,Diode-Hybrid-Back,48.41875,-97.63125,270,bottom
D28,SOD-123,Diode-Hybrid-Back,53.18125,-116.68125,270,bottom
D29,SOD-123,Diode-Hybrid-Back,67.46875,-40.48125,270,bottom
D30,SOD-123,Diode-Hybrid-Back,67.46875,-59.53125,270,bottom
D31,SOD-123,Diode-Hybrid-Back,67.46875,-78.58125,270,bottom
D32,SOD-123,Diode-Hybrid-Back,67.46875,-97.63125,270,bottom
D33,SOD-123,Diode-Hybrid-Back,76.99375,-116.68125,270,bottom
D34,SOD-123,Diode-Hybrid-Back,86.51875,-40.48125,270,bottom
D35,SOD-123,Diode-Hybrid-Back,86.51875,-59.53125,270,bottom
D36,SOD-123,Diode-Hybrid-Back,86.51875,-78.58125,270,bottom
D37,SOD-123,Diode-Hybrid-Back,86.51875,-97.63125,270,bottom
D38,SOD-123,Diode-Hybrid-Back,80.16875,-116.68125,270,bottom
D39,SOD-123,Diode-Hybrid-Back,105.56875,-40.48125,270,bottom
D40,SOD-123,Diode-Hybrid-Back,105.56875,-59.53125,270,bottom
D41,SOD-123,Diode-Hybrid-Back,105.56875,-78.58125,270,bottom
D42,SOD-123,Diode-Hybrid-Back,105.56875,-97.62825,270,bottom
D43,SOD-123,Diode-Hybrid-Back,124.61875,-40.48125,270,bottom
D44,SOD-123,Diode-Hybrid-Back,124.61875,-59.53125,270,bottom
D45,SOD-123,Diode-Hybrid-Back,124.61875,-78.58125,270,bottom
D46,SOD-123,Diode-Hybrid-Back,124.61875,-97.63125,270,bottom
SW1,SW_Push,SKQG-1155865,111.91875,-116.68125,180,bottom
